Stock,Net Returns,Ups,Downs,Up and Down count,Industry,Graph,Reported Net Profit(last 5 years),Debt equity ratio
Sterling Biotech Ltd.,8.774008696,8,5,FALSE,Pharmaceuticals,,,
Trend Electronics Ltd.,10.45348242,7,6,FALSE,Consumer Goods - Electronic,,,
Century Enka Ltd.,15.64567072,8,5,FALSE,Textiles - Manmade Fibre - PFY/PSF,,,
Electrotherm (India) Ltd.,22.78231317,6,7,FALSE,Engineering - General,,,
Shrenuj & Company Ltd.,20.82758967,11,2,TRUE,Diamond Cutting/Precious Metals/Jewellery,OK,OK,TRUE
Mahindra Ugine Steel Company Ltd.,29.4053476,8,5,FALSE,Steel - Alloys/Special,,,
Shriram City Union Finance Ltd.,39.99756342,7,3,TRUE,Finance & Investments,TRUE,TRUE,FALSE
Sunflag Iron & Steel Company Ltd.,18.45247598,6,7,FALSE,Steel - Rolling,,,
Elecon Engineering Company Ltd.,35.22101097,7,6,FALSE,Engineering - Heavy,,,
Hatsun Agro Products Ltd.,31.31283552,7,6,FALSE,Food Processing - Dairy/Fruits/Others,,,
NIIT Technologies Ltd.,18.33737804,7,2,FALSE,Computers - Software,,,
Essel Propack Ltd.,3.858752038,7,6,FALSE,Packaging - Metalic/Plastics/Others,,,
Surya Pharmaceuticals Ltd.,-12.97300562,4,5,FALSE,Pharmaceuticals,,,
Hindustan Copper Ltd.,11.64413866,7,6,FALSE,Metals - Non Ferrous - Copper/Copper Alloys - Prod,,,
Sonata Software Ltd.,4.123975125,9,4,FALSE,Computers - Software,,,
Infotech Enterprises Ltd.,29.27717818,8,5,FALSE,Computers - Software,,,
Abbott India Ltd.,13.63474716,9,4,FALSE,Pharmaceuticals,,,
Shriram Transport Finance Company Ltd.,42.17684948,10,3,TRUE,Finance & Investments,OK,TRUE,FALSE
Munjal Showa Ltd.,14.14893946,8,5,FALSE,Auto Ancl - Shock Absorber,,,
Dhampur Sugar Mills Ltd.,15.79146698,6,7,FALSE,Sugar,,,
Dhanlaxmi Bank Ltd.,8.704440711,7,6,FALSE,Finance - Banks - Private Sector,,,
Siemens Ltd.,29.71894021,9,4,TRUE,Instrumentation & Process Control,FALSE,,
Sintex Industries Ltd.,27.61611187,9,4,TRUE,Diversified,FALSE,,
Dynamatic Technologies Ltd.,32.23381746,8,5,FALSE,Hydraulics,,,
Nilkamal Ltd.,16.83547673,8,5,FALSE,Plastics - Plastic & Plastic Products,,,
SKF India Ltd.,26.8924928,10,3,TRUE,Bearings,FALSE,,
Shiv-Vani Oil & Gas Exploration Services Ltd.,13.48401473,9,4,FALSE,Oil Drilling And Exploration,,,
Sona Koyo Steering Systems Ltd.,22.95638111,10,3,TRUE,Auto Ancl - Gears & Drive,FALSE,,
State Bank Of Bikaner and Jaipur,25.31053388,10,3,TRUE,Finance - Banks - Public Sector,FALSE,,
State Bank of India,19.93691812,9,4,TRUE,Finance - Banks - Public Sector,FALSE,,
State Bank Of Mysore,30.33752828,9,4,TRUE,Finance - Banks - Public Sector,FALSE,,
McLeod Russel (India) Ltd.,25.17277288,3,5,FALSE,Plantations - Tea & Coffee,,,
Alembic Ltd.,13.9565731,9,4,FALSE,Pharmaceuticals,,,
NIIT Ltd.,-7.102298352,5,8,FALSE,Computers - Software - Training,,,
TVS Srichakra Ltd.,19.24403828,8,5,FALSE,Tyres & Tubes,,,
Sanofi India Ltd.,15.28651059,7,6,FALSE,Pharmaceuticals,,,
Ind-Swift Laboratories Ltd.,10.20483755,6,7,FALSE,Pharmaceuticals,,,
HEG Ltd.,22.62406238,6,7,FALSE,Electrodes - Graphite,,,
Himatsingka Seide Ltd.,8.227526253,8,5,FALSE,Textiles - Synthetic/Silk,,,
AIA Engineering Ltd.,23.53412036,6,2,FALSE,Castings/Foundry,,,
Sangam (India) Ltd.,12.89122009,8,5,FALSE,Textiles - Spinning - Synthetic Blended,,,
State Bank of Travancore,28.67720013,10,3,TRUE,Finance - Banks - Public Sector,FALSE,,
Bharati Shipyard Ltd.,-4.935758889,4,5,FALSE,Ship - Docks/Breaking/Repairs,,,
Sun Pharmaceutical Industries Ltd.,30.5814761,12,1,TRUE,Pharmaceuticals,TRUE,FALSE,TRUE
Kohinoor Foods Ltd.,10.17795763,5,8,FALSE,Commodities - Trading - Rice,,,
Sundaram Clayton Ltd.,24.83427054,10,3,TRUE,Auto Ancl - Susp. & Braking - Others,FALSE,,
Supreme Industries Ltd.,34.30171094,11,2,TRUE,Plastics - Plastic & Plastic Products,TRUE,TRUE,FALSE
Gujarat NRE Coke Ltd.,40.53123367,8,5,FALSE,Mining/Minerals,,,
Supreme Petrochem Ltd.,19.11771576,9,4,TRUE,Petrochem - Polymers,FALSE,,
MMTC Ltd.,39.89107913,4,4,FALSE,Trading,,,
Tata Coffee Ltd.,19.81943212,9,4,TRUE,Plantations - Tea & Coffee,OK,TRUE,OK
Punjab & Sind Bank,-32.32261131,1,2,FALSE,Finance - Banks - Public Sector,,,OK
Dena Bank,18.92412495,8,5,FALSE,Finance - Banks - Public Sector,,,OK
Bank of Maharashtra,3.450521014,5,4,FALSE,Finance - Banks - Public Sector,,,
Vijaya Bank,19.44514481,7,5,FALSE,Finance - Banks - Public Sector,,,
United Bank of India,-30.74730957,1,2,FALSE,Finance - Banks - Public Sector,,,
Tata Global Beverages Ltd.,17.22119522,9,4,TRUE,Plantations - Tea & Coffee,TRUE,OK,TRUE
Indian Bank,-7.271406942,3,3,FALSE,Finance - Banks - Public Sector,,,
Corporation Bank,10.9402755,8,5,FALSE,Finance - Banks - Public Sector,,,
UCO Bank,18.63273715,5,5,FALSE,Finance - Banks - Public Sector,,,
Syndicate Bank,20.56667952,8,5,FALSE,Finance - Banks - Public Sector,,,
Thermax Ltd.,35.39169538,10,3,TRUE,Engineering - General,OK,OK,TRUE
Titan Company Ltd.,38.88605493,9,4,TRUE,Watches,OK,TRUE,TRUE
Petronet LNG Ltd.,19.40150722,6,3,FALSE,Petrochem - Others,,,
Transport Corporation of India Ltd.,31.6520398,10,2,TRUE,Transport - Road,FALSE,,
Tube Investments of India Ltd.,28.92519313,9,4,TRUE,Cycles & Accessories,TRUE,OK,FALSE
Union Bank of India,21.4433356,8,3,TRUE,Finance - Banks - Public Sector,FALSE,,
Bank of Baroda,23.70676875,8,5,FALSE,Finance - Banks - Public Sector,,,
Unitech Ltd.,56.73314175,9,4,TRUE,Construction & Contracting,FALSE,,
United Spirits Ltd.,34.29236016,9,4,TRUE,Beverages & Distilleries,OK,OK,FALSE
Voltas Ltd.,32.96726816,10,3,TRUE,Diversified,FALSE,,
Tata Communications Ltd.,3.16,9,5,FALSE,Telecommunications,,,
TATAMOTORS,12.52,7,7,FALSE,Auto,,,
ACC,17.97,11,4,TRUE,Cement,OK,FALSE,FALSE
NCC,35.26,7,6,FALSE,Civil,FALSE,FALSE,ok
Shree Cements Ltd.,46.76,9,4,TRUE,Cement,TRUE,OK,TRUE
MARICO,20.14,7,1,FALSE,Personal Care,TRUE,TRUE,TRUE
GLENMARK PHARMA,25,10,4,TRUE,Pharmaceuticals,OK,OK,TRUE
Castrol India Ltd.,12.29,11,3,FALSE,LUBRICANTS,OK,OK,TRUE
